Başlangıç Tarihi,Bitiş Tarihi,kod,renk,model,100cm,100cm camlı,90cm,90cm camlı
2024-05-17,2024-05-24,720,küp akça,baklava,3.0,,,
2024-05-17,2024-05-24,730,küp akça,karışık çizgi,10.0,,,6.0
2024-05-17,2024-05-24,740,,,,,,
2024-05-17,2024-05-24,760,küp akça,iki göbek,63.0,1.0,13.0,2.0
2024-05-17,2024-05-24,800,ardahan gri,yavru kanat,,,,
2024-05-17,2024-05-24,810,ardahan gri,madra,37.0,,3.0,
2024-05-17,2024-05-24,820,ardahan gri,baklava,13.0,,1.0,
2024-05-17,2024-05-24,830,ardahan gri,karışık çizgi,37.0,1.0,2.0,
2024-05-17,2024-05-24,840,,,,,,
2024-05-17,2024-05-24,860,ardahan gri,iki göbek,,,,1.0
2024-05-17,2024-05-24,900,pvc gri,yavru kanat,,,,
2024-05-17,2024-05-24,920,pvc gri,baklava,,,,
2024-05-17,2024-05-24,930,pvc gri,karışık çizgi,18.0,1.0,,
2024-05-17,2024-05-24,960,pvc gri,iki göbek,54.0,,8.0,1.0
2024-05-24,2024-05-31,100,italyan ceviz,yavru kanat,,,,
2024-05-24,2024-05-31,110,italyan ceviz,madra,29.0,1.0,5.0,3.0
2024-05-24,2024-05-31,120,italyan ceviz,baklava,8.0,,1.0,1.0
2024-05-24,2024-05-31,130,italyan ceviz,karışık çizgi,9.0,,5.0,
2024-05-24,2024-05-31,140,,,,,,
2024-05-24,2024-05-31,160,italyan ceviz,iki göbek,31.0,2.0,16.0,5.0
2024-05-24,2024-05-31,200,koyu ceviz,yavru kanat,,,,
2024-05-24,2024-05-31,220,koyu ceviz,baklava,10.0,,,
2024-05-24,2024-05-31,230,koyu ceviz,karışık çizgi,19.0,2.0,,2.0
2024-05-24,2024-05-31,240,,,,,,
2024-05-24,2024-05-31,260,koyu ceviz,iki göbek,,1.0,1.0,2.0
2024-05-24,2024-05-31,300,gold ceviz,yavru kanat,,,,
2024-05-24,2024-05-31,310,gold ceviz,madra,1.0,1.0,,
2024-05-24,2024-05-31,320,gold ceviz,baklava,5.0,,,
2024-05-24,2024-05-31,330,gold ceviz,karışık çizgi,,,,
2024-05-24,2024-05-31,340,,,,,,
2024-05-24,2024-05-31,360,gold ceviz,iki göbek,13.0,,,3.0
2024-05-24,2024-05-31,400,ABD ceviz,yavru kanat,,,,
2024-05-24,2024-05-31,410,ABD ceviz,madra,3.0,,,
2024-05-24,2024-05-31,420,ABD ceviz,baklava,7.0,,,
2024-05-24,2024-05-31,430,ABD ceviz,karışık çizgi,10.0,,2.0,
2024-05-24,2024-05-31,440,,,,,,
2024-05-24,2024-05-31,460,ABD ceviz,iki göbek,3.0,,1.0,
2024-05-24,2024-05-31,500,wenge,yavru kanat,,,,
2024-05-24,2024-05-31,520,wenge,baklava,3.0,,3.0,1.0
2024-05-24,2024-05-31,530,wenge,karışık çizgi,,,,
2024-05-24,2024-05-31,540,,,5.0,,3.0,1.0
2024-05-24,2024-05-31,560,wenge,iki göbek,13.0,,6.0,
2024-05-24,2024-05-31,600,bute beyaz,yavru kanat,,,,
2024-05-24,2024-05-31,610,bute beyaz,madra,6.0,,7.0,2.0
2024-05-24,2024-05-31,620,bute beyaz,baklava,23.0,1.0,,7.0
2024-05-24,2024-05-31,630,bute beyaz,karışık çizgi,40.0,,1.0,12.0
2024-05-24,2024-05-31,640,,,,,,
2024-05-24,2024-05-31,660,bute beyaz,iki göbek,160.0,13.0,28.0,17.0
2024-05-24,2024-05-31,700,küp akça,yavru kanat,,,,
2024-05-24,2024-05-31,720,küp akça,baklava,14.0,1.0,3.0,1.0
2024-05-24,2024-05-31,730,küp akça,karışık çizgi,3.0,,,
2024-05-24,2024-05-31,740,,,2.0,,1.0,
2024-05-24,2024-05-31,760,küp akça,iki göbek,62.0,4.0,7.0,10.0
2024-05-24,2024-05-31,800,ardahan gri,yavru kanat,,,,
2024-05-24,2024-05-31,810,ardahan gri,madra,28.0,,9.0,1.0
2024-05-24,2024-05-31,820,ardahan gri,baklava,30.0,,1.0,1.0
2024-05-24,2024-05-31,830,ardahan gri,karışık çizgi,42.0,1.0,11.0,3.0
2024-05-24,2024-05-31,840,,,5.0,,,2.0
2024-05-24,2024-05-31,860,ardahan gri,iki göbek,6.0,1.0,,
2024-05-24,2024-05-31,900,pvc gri,yavru kanat,,,,
2024-05-24,2024-05-31,920,pvc gri,baklava,,,,
2024-05-24,2024-05-31,930,pvc gri,karışık çizgi,9.0,,,
2024-05-24,2024-05-31,960,pvc gri,iki göbek,,,1.0,1.0
2024-05-31,2024-06-07,100,italyan ceviz,yavru kanat,,,,
2024-05-31,2024-06-07,110,italyan ceviz,madra,9.0,1.0,1.0,
2024-05-31,2024-06-07,120,italyan ceviz,baklava,15.0,,,
2024-05-31,2024-06-07,130,italyan ceviz,karışık çizgi,27.0,,2.0,
2024-05-31,2024-06-07,140,,,,,,
2024-05-31,2024-06-07,160,italyan ceviz,iki göbek,24.0,9.0,5.0,4.0
2024-05-31,2024-06-07,200,koyu ceviz,yavru kanat,,,,
2024-05-31,2024-06-07,220,koyu ceviz,baklava,12.0,2.0,,
2024-05-31,2024-06-07,230,koyu ceviz,karışık çizgi,9.0,,2.0,
2024-05-31,2024-06-07,240,,,,,,
2024-05-31,2024-06-07,260,koyu ceviz,iki göbek,5.0,1.0,3.0,1.0
2024-05-31,2024-06-07,300,gold ceviz,yavru kanat,,,,
2024-05-31,2024-06-07,310,gold ceviz,madra,1.0,1.0,1.0,2.0
2024-05-31,2024-06-07,320,gold ceviz,baklava,8.0,,,
2024-05-31,2024-06-07,330,gold ceviz,karışık çizgi,,,,
2024-05-31,2024-06-07,340,,,,,,
2024-05-31,2024-06-07,360,gold ceviz,iki göbek,13.0,2.0,,
2024-05-31,2024-06-07,400,ABD ceviz,yavru kanat,,,,
2024-05-31,2024-06-07,410,ABD ceviz,madra,3.0,,,
2024-05-31,2024-06-07,420,ABD ceviz,baklava,4.0,,,
2024-05-31,2024-06-07,430,ABD ceviz,karışık çizgi,,,,
2024-05-31,2024-06-07,440,,,,,,
2024-05-31,2024-06-07,460,ABD ceviz,iki göbek,,,,1.0
2024-05-31,2024-06-07,500,wenge,yavru kanat,,,,
2024-05-31,2024-06-07,520,wenge,baklava,7.0,1.0,3.0,
2024-05-31,2024-06-07,530,wenge,karışık çizgi,2.0,,,
2024-05-31,2024-06-07,540,,,,,,
2024-05-31,2024-06-07,560,wenge,iki göbek,10.0,,4.0,1.0
2024-05-31,2024-06-07,600,bute beyaz,yavru kanat,,,,
2024-05-31,2024-06-07,610,bute beyaz,madra,46.0,4.0,33.0,3.0
2024-05-31,2024-06-07,620,bute beyaz,baklava,16.0,1.0,,
2024-05-31,2024-06-07,630,bute beyaz,karışık çizgi,80.0,2.0,4.0,13.0
2024-05-31,2024-06-07,640,,,2.0,,,1.0
2024-05-31,2024-06-07,660,bute beyaz,iki göbek,128.0,10.0,11.0,5.0
2024-05-31,2024-06-07,700,küp akça,yavru kanat,,,,
2024-05-31,2024-06-07,720,küp akça,baklava,17.0,,11.0,1.0
2024-05-31,2024-06-07,730,küp akça,karışık çizgi,1.0,,,
2024-05-31,2024-06-07,740,,,,,,
2024-05-31,2024-06-07,760,küp akça,iki göbek,53.0,,2.0,8.0
2024-05-31,2024-06-07,800,ardahan gri,yavru kanat,,,,
2024-05-31,2024-06-07,810,ardahan gri,madra,39.0,,6.0,6.0
